layer,visit.id,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier3_InChannel_GU,1027,1689.122,1460.999,210.211,257.515,0.816,1.304,0.176,0.26,0.832
Tier3_InChannel_GU,1029,1703.582,1209.404,177.472,420.353,0.422,1.526,0.287,0.378,1.009
Tier3_InChannel_GU,1096,18490.873,12044.255,532.129,672.556,0.791,0.325,0.041,0.057,0.214
Tier3_InChannel_GU,1164,936.046,567.588,123.73,187.061,0.661,1.452,0.331,0.401,0.917
Tier3_InChannel_GU,1175,1071.517,625.026,151.767,278.026,0.546,1.741,0.402,0.36,1.158
Tier3_InChannel_GU,1448,4232.429,2884.025,281.407,608.14,0.463,0.945,0.11,0.227,0.59
Tier3_InChannel_GU,1486,3335.073,3001.347,285.992,362.216,0.79,0.796,0.185,0.157,0.524
Tier3_InChannel_GU,1494,4225.77,3846.588,318.606,343.49,0.928,0.726,0.132,0.143,0.511
Tier3_InChannel_GU,1521,21381.844,16949.086,634.484,831.66,0.763,0.346,0.077,0.082,0.219
Tier3_InChannel_GU,1545,605.99,460.305,125.183,234.967,0.533,2.102,0.336,0.345,1.178
Tier3_InChannel_GU,1549,557.424,295.062,122.227,145.606,0.839,2.12,0.237,0.282,1.426
Tier3_InChannel_GU,157,467.633,226.361,115.934,149.578,0.775,2.114,0.242,0.281,1.299
Tier3_InChannel_GU,1587,3410.216,2729.544,249.785,314.872,0.793,0.721,0.2,0.171,0.44
Tier3_InChannel_GU,1596,7744.422,5713.037,301.184,720.315,0.418,0.577,0.1,0.114,NA
Tier3_InChannel_GU,1602,7253.006,5539.187,364.373,604.29,0.603,0.636,0.134,0.151,0.428
Tier3_InChannel_GU,1621,508.808,412.759,119.705,141.153,0.848,2.033,0.485,0.51,NA
Tier3_InChannel_GU,1735,2087.556,1438.713,209.059,474.247,0.441,1.335,0.292,0.42,NA
Tier3_InChannel_GU,1783,9976.816,8545.172,335.954,478.247,0.702,0.405,0.122,0.098,NA
Tier3_InChannel_GU,1793,9978.441,9090.376,321.036,540.056,0.594,0.364,0.053,0.067,NA
Tier3_InChannel_GU,1846,11988.061,7566.135,373.924,639.023,0.585,0.424,0.094,0.081,NA
Tier3_InChannel_GU,1967,988.104,764.784,181.714,277.059,0.656,2.076,0.473,0.559,1.36
Tier3_InChannel_GU,197,989.249,781.27,143.231,332.058,0.431,1.553,0.454,0.446,0.952
Tier3_InChannel_GU,1971,3206.576,1798.333,203.437,648.634,0.314,NA,NA,NA,NA
Tier3_InChannel_GU,2014,856.438,615.925,177.718,265.153,0.67,2.03,0.473,0.483,1.292
Tier3_InChannel_GU,2019,5107.302,3962.729,337.281,681.751,0.495,1.076,0.213,0.241,0.691
Tier3_InChannel_GU,2021,1156.441,1024.021,168.737,196.25,0.86,1.547,0.184,0.194,0.989
Tier3_InChannel_GU,2026,6688.741,4429.285,456.853,793.758,0.576,0.974,0.175,0.2,0.619
Tier3_InChannel_GU,2027,14355.699,10352.315,626.448,946.944,0.662,0.504,0.137,0.115,0.329
Tier3_InChannel_GU,2028,5749.39,4769.253,377.206,459.598,0.821,0.69,0.127,0.126,0.445
Tier3_InChannel_GU,2051,1155.799,966.282,153.076,275.083,0.556,1.808,0.405,0.527,1.112
Tier3_InChannel_GU,2056,5538.374,3651.765,292.274,410.514,0.712,0.63,0.161,0.129,0.48
Tier3_InChannel_GU,2060,7153.184,6845.722,389.912,389.912,1,0.594,0.121,0.121,0.382
Tier3_InChannel_GU,2061,2411.324,2159.333,213.564,368.403,0.58,1.292,0.295,0.399,0.766
Tier3_InChannel_GU,2065,3105.27,2438.284,222.411,307.712,0.723,0.91,0.184,0.231,0.585
Tier3_InChannel_GU,2133,446.652,289.394,129.192,136.802,0.944,2.504,0.418,0.431,1.487
Tier3_InChannel_GU,2140,9190.84,5306.666,381.725,1221.01,0.313,1.047,0.212,0.233,0.671
Tier3_InChannel_GU,2141,955.952,537.092,131.435,184.389,0.713,1.519,0.167,0.331,0.931
Tier3_InChannel_GU,2145,1460.737,1225.926,208.601,306.122,0.681,1.536,0.355,0.382,0.975
Tier3_InChannel_GU,2153,9710.474,8189.807,432.899,496.168,0.872,0.481,0.102,0.113,0.318
Tier3_InChannel_GU,22,547.727,461.451,127.935,235.503,0.543,2.454,0.43,0.535,1.522
Tier3_InChannel_GU,2205,582.715,359.323,127.178,201.218,0.632,1.916,0.244,0.298,1.209
Tier3_InChannel_GU,2262,3410.606,2421.409,248.423,334.305,0.743,0.84,0.133,0.221,0.563
Tier3_InChannel_GU,2265,5898.58,3340.755,282.855,460.051,0.615,0.65,0.103,0.12,0.395
Tier3_InChannel_GU,2271,702.154,413.555,126.273,246.873,0.511,NA,NA,NA,NA
Tier3_InChannel_GU,2288,1041.499,331.315,154.359,182.023,0.848,1.573,0.272,0.297,0.999
Tier3_InChannel_GU,2338,496.597,355.179,127.598,143.491,0.889,2.52,0.494,0.474,1.608
Tier3_InChannel_GU,2435,928.136,549.102,147.281,182.769,0.806,1.651,0.387,0.378,0.897
Tier3_InChannel_GU,2441,5395.229,2154.382,399.459,687.989,0.581,1.178,0.225,0.243,0.786
Tier3_InChannel_GU,2447,11348.432,9059.562,341.339,1061.311,0.322,0.644,0.202,0.198,0.434
Tier3_InChannel_GU,2458,424.9,264.539,130.695,164.47,0.795,2.729,0.696,0.669,1.609
Tier3_InChannel_GU,2459,7224.582,7060.254,302.788,440.9,0.687,0.469,0.129,0.1,0.306
Tier3_InChannel_GU,2484,3451.451,1634.62,178.631,656.881,0.272,1.121,0.134,0.195,0.749
Tier3_InChannel_GU,2499,7435.733,6666.684,306.048,399.035,0.767,0.499,0.098,0.093,0.355
Tier3_InChannel_GU,2546,24076.126,17926.744,609.188,609.188,1,0.297,0.048,0.048,0.19
Tier3_InChannel_GU,2556,11457.663,6772.527,431.024,1242.938,0.347,0.667,0.128,0.216,0.389
Tier3_InChannel_GU,2563,1402.959,653.261,120.886,200.263,0.604,0.982,0.199,0.275,0.589
Tier3_InChannel_GU,2668,16867.967,12216.067,565.154,1014.784,0.557,0.431,0.064,0.084,0.268
Tier3_InChannel_GU,2696,4844.968,3668.004,313.533,415.788,0.754,0.867,0.144,0.18,0.536
Tier3_InChannel_GU,2769,798.024,592.82,187.998,213.283,0.881,2.26,0.532,0.511,1.416
Tier3_InChannel_GU,2771,563.859,419.868,141.126,154.751,0.912,2.367,0.149,0.239,1.472
Tier3_InChannel_GU,2785,1640.527,825.238,122.313,361.012,0.339,1.733,0.368,0.427,0.917
Tier3_InChannel_GU,2790,960.143,805.971,222.961,249.165,0.895,2.459,0.44,0.421,1.573
Tier3_InChannel_GU,2898,19212.31,15008.793,656.547,763.768,0.86,NA,NA,NA,NA
Tier3_InChannel_GU,294,9341.288,8763.388,450.033,543.075,0.829,0.53,0.127,0.221,0.345
Tier3_InChannel_GU,3146,2991.817,2375.947,301.542,475.83,0.634,0.993,0.262,0.225,0.6
Tier3_InChannel_GU,3161,399.071,260.203,128.48,195.626,0.657,2.706,0.763,0.915,1.644
Tier3_InChannel_GU,323,1579.462,1156.094,161.992,241.941,0.67,1.094,0.235,0.248,0.591
Tier3_InChannel_GU,3275,27680.744,15297.403,695.446,1346.908,0.516,0.387,0.083,0.108,0.252
Tier3_InChannel_GU,3297,21876.315,13365.382,645.241,1846.015,0.35,NA,NA,NA,NA
Tier3_InChannel_GU,3413,764.041,616.076,123.353,137.535,0.897,1.721,0.357,0.334,1.129
Tier3_InChannel_GU,3415,2091.432,1761.221,170.192,216.348,0.787,0.978,0.259,0.254,0.627
Tier3_InChannel_GU,3432,1029.217,738.603,173.845,266.676,0.652,1.72,0.414,0.461,1.052
Tier3_InChannel_GU,3464,2816.999,1636.925,205.455,329.129,0.624,0.877,0.107,0.146,0.542
Tier3_InChannel_GU,3466,29328.175,17423.374,690.477,1065.994,0.648,0.288,0.049,0.086,0.179
Tier3_InChannel_GU,3501,7306.055,5694.33,399.611,697.318,0.573,0.866,0.088,0.192,0.549
Tier3_InChannel_GU,3512,3657.812,3378.199,241.076,676.135,0.357,1.152,0.232,0.312,0.668
Tier3_InChannel_GU,3528,2388.864,1966.57,209.517,259.042,0.809,0.953,0.258,0.239,0.652
Tier3_InChannel_GU,3615,976.339,717.887,256.88,264.399,0.972,2.281,0.561,0.552,1.388
Tier3_InChannel_GU,3620,2308.13,1004.93,217.012,618.717,0.351,1.816,0.263,0.39,1.251
Tier3_InChannel_GU,3637,1063.226,735.83,289.699,312.415,0.927,2.388,0.324,0.326,1.491
Tier3_InChannel_GU,3701,8882.882,7517.921,531.698,990.275,0.537,0.753,0.1,0.152,0.467
Tier3_InChannel_GU,372,1241.022,579.462,164.553,250.906,0.656,1.608,0.389,0.383,1.073
Tier3_InChannel_GU,3949,2281.37,1965.343,216.524,371.865,0.582,1.09,0.152,0.191,0.697
Tier3_InChannel_GU,3975,1415.061,987.367,204.274,274.248,0.745,2.128,0.157,0.241,1.429
Tier3_InChannel_GU,3979,23490.767,16309.382,539.9,2063.255,0.262,0.579,0.143,0.215,0.381
Tier3_InChannel_GU,3983,3876.754,2999.055,285.211,365.607,0.78,0.78,0.161,0.164,0.476
Tier3_InChannel_GU,3991,902.699,494.212,128.944,162.66,0.793,1.451,0.248,0.289,0.953
Tier3_InChannel_GU,4000,15341.884,9617.629,493.886,945.293,0.522,0.427,0.095,0.093,0.262
Tier3_InChannel_GU,4024,19919.134,11761.73,596.002,1067.849,0.558,0.353,0.072,0.083,0.237
Tier3_InChannel_GU,4086,24005.598,14503.738,645.564,1371.307,0.471,0.399,0.229,0.23,0.233
Tier3_InChannel_GU,4147,7617.74,5173.448,279.446,1007.836,0.277,0.94,0.122,0.211,0.584
Tier3_InChannel_GU,4179,5722.65,4271.222,371.244,707.115,0.525,0.832,0.172,0.187,0.536
Tier3_InChannel_GU,4182,4203.979,3160.97,311.732,337.697,0.923,0.695,0.128,0.124,0.464
Tier3_InChannel_GU,547,405.315,370.619,146.883,202.216,0.726,2.797,0.545,0.569,1.682
Tier3_InChannel_GU,548,664.721,548.138,152.902,168.687,0.906,2.229,0.458,0.445,NA
Tier3_InChannel_GU,664,540.25,349.887,120.032,173.85,0.69,2.401,0.433,0.477,1.482
Tier3_InChannel_GU,665,971.79,770.18,162.85,172.348,0.945,1.835,0.344,0.337,NA
Tier3_InChannel_GU,681,2672.33,2447.42,269.831,438.195,0.616,1.137,0.226,0.301,0.677
Tier3_InChannel_GU,685,7810.66,6472.964,401.716,567.435,0.708,0.577,0.117,0.159,0.381
Tier3_InChannel_GU,686,1318.243,1231.268,169.27,276.757,0.612,1.412,0.26,0.343,0.909
Tier3_InChannel_GU,699,661.648,543.183,117.355,172.395,0.681,1.993,0.469,0.423,1.275
Tier3_InChannel_GU,701,565.18,422.017,123.862,169.446,0.731,2.16,0.541,0.525,1.259
Tier3_InChannel_GU,738,3100.157,1924.002,207.276,257.86,0.804,0.691,0.14,0.163,0.463
Tier3_InChannel_GU,747,946.335,509.504,125.791,153.938,0.817,1.403,0.405,0.39,0.906
Tier3_InChannel_GU,797,1265.043,520.106,167.811,262.424,0.639,1.615,0.417,0.362,1.009
Tier3_InChannel_GU,806,743.132,447.704,127.312,127.312,1,1.722,0.322,0.322,1.319
Tier3_InChannel_GU,820,470.227,367.012,127.959,161.422,0.793,2.456,0.969,0.855,1.536
Tier3_InChannel_GU,85,382.102,292.059,106.593,117.649,0.906,2.357,0.488,0.484,1.352
Tier3_InChannel_GU,895,2509.758,2261.68,199.865,346.472,0.577,0.936,0.21,0.19,0.565
Tier3_InChannel_GU,916,5152.633,4725.855,329.649,581.607,0.567,0.721,0.118,0.289,0.462
Tier3_InChannel_GU,920,1077.843,874.197,164.612,293.823,0.56,1.691,0.298,0.391,NA
Tier3_InChannel_GU,937,705.493,473.608,169.279,208.673,0.811,2.365,0.478,0.508,1.656
